,Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Cores (threads),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0
124,Xeon E7-4830 v4,SR2S3 (B0),14,2 GHz,2/2/2/2/2/2/2/2/3/4/ 5/6/8/8,14 × 256 KB,35 MB,115 W,LGA 2011-1,3× 8.0 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902027102,$2170,,,,,,,,,,,,,,,,,
125,Xeon E7-4850 v4,SR2S2 (B0),16,2.1 GHz,3/3/3/3/3/3/3/3/3/3/ 3/3/4/5/7/7,16 × 256 KB,40 MB,115 W,LGA 2011-1,3× 8.0 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902026904,$3003,,,,,,,,,,,,,,,,,
126,Xeon E7-8855 v4,SR2S9 (B0),14,2.1 GHz,3/3/3/3/3/3/3/3/3/3/ 4/5/7/7,14 × 256 KB,35 MB,140 W,LGA 2011-1,3× 8.0 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902675600,$3003,,,,,,,,,,,,,,,,,
127,Xeon E7-8860 v4,SR2S8 (B0),18,2.2 GHz,5/5/5/5/5/5/5/5/5/5/ 5/5/5/6/7/8/10/10,18 × 256 KB,45 MB,140 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902325800,$4061,,,,,,,,,,,,,,,,,
128,Xeon E7-8867 v4,SR2S6 (B0),18,2.4 GHz,4/4/4/4/4/4/4/4/4/4/ 4/4/4/5/6/7/9/9,18 × 256 KB,45 MB,165 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902028403,$4672,,,,,,,,,,,,,,,,,
129,Xeon E7-8870 v4,SR2S1 (B0),20,2.1 GHz,5/5/5/5/5/5/5/5/5/5/ 5/5/5/5/5/6/7/8/9/9,20 × 256 KB,50 MB,140 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902025802,$4672,,,,,,,,,,,,,,,,,
130,Xeon E7-8880 v4,SR2S7 (B0),22,2.2 GHz,4/4/4/4/4/4/4/4/4/4/ 4/4/4/4/4/5/6/7/8/9/ 11/11,22 × 256 KB,55 MB,150 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902325500,$5895,,,,,,,,,,,,,,,,,
131,Xeon E7-8890 v4,SR2SS (B0),24,2.2 GHz,4/4/4/4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6/7/8/ 9/10/12/12,24 × 256 KB,60 MB,165 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902885200,$7174,,,,,,,,,,,,,,,,,
132,Xeon E7-8891 v4,SR2SQ (B0),10,2.8 GHz,5/5/5/5/5/5/5/5/7/7,10 × 256 KB,60 MB,165 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902027903,$6841,,,,,,,,,,,,,,,,,
133,Xeon E7-8893 v4,SR2SR (B0),4,3.2 GHz,2/2/3/3,4 × 256 KB,60 MB,140 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"June 6, 2016",CM8066902065502,$6841,,,,,,,,,,,,,,,,,
134,Xeon E7-8894 v4,SR32U (B0),24,2.4 GHz,5/5/5/5/5/5/5/5/5/5/ 5/5/5/5/5/5/5/5/5/6/ 7/8/10/10,24 × 256 KB,60 MB,165 W,LGA 2011-1,3× 9.6 GT/s QPI,4× DDR4-1866 4× DDR3-1600,"February 9, 2017",CM8066903251800,$8898,,,,,,,,,,,,,,,,,
163,Xeon Gold 6208U,SRGZD (B1),,2.9 GHz,,16 × 1 MB,22 MB,150 W,LGA 3647,DMI 3.0,6× DDR4-2933,February 2020,CD8069504449101,$989,16 (32),,,,,,2.6/3.9 GHz,,,,,,,,,,
164,Xeon Gold 6209U,SRFQ3 (B1),,2.1 GHz,,20 × 1 MB,27.5 MB,125 W,LGA 3647,DMI 3.0,6× DDR4-2933,May 2019,CD8069504284804,$1350,20 (40),,,,,,2.8/3.9 GHz,,,,,,,,,,
165,Xeon Gold 6210U,SRF9B (B1),,2.5 GHz,,20 × 1 MB,27.5 MB,150 W,LGA 3647,DMI 3.0,6× DDR4-2933,2 April 2019,CD8069504198101,$1500,20 (40),,,,,,3.2/3.9 GHz,,,,,,,,,,
166,Xeon Gold 6212U,SRF9A (B1),,2.4 GHz,,24 × 1 MB,36 MB,165 W,LGA 3647,DMI 3.0,6× DDR4-2933,2 April 2019,CD8069504198002,$2000,24 (48),,,,,,3.1/3.9 GHz,,,,,,,,,,
167,Xeon Bronze 3204,SRFBP (R1),,1.9 GHz,,6 × 1 MB,8.25 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2133,2 April 2019,CD8069503956700 BX806953204,$213,6 (6),,,,,,—,,,,,,,,,,
168,Xeon Bronze 3206R,SRG25 (R1),,1.9 GHz,,8 × 1 MB,11 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2133,24 February 2020,CD8069504344600 BX806953206R,$306,8 (8),,,,,,—,,,,,,,,,,
169,Xeon Silver 4208,SRFBM (R1),,2.1 GHz,,8 × 1 MB,11 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069503956401 BX806954208,$417,8 (16),,,,,,2.5/3.2 GHz,,,,,,,,,,
170,Xeon Silver 4209T,SRFBQ (R1),,2.2 GHz,,8 × 1 MB,11 MB,70 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069503956900,$501,8 (16),,,,,,2.5/3.2 GHz,,,,,,,,,,
171,Xeon Silver 4210,SRFBL (R1),,2.2 GHz,,10 × 1 MB,13.75 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069503956302 BX806954210,$501,10 (20),,,,,,2.7/3.2 GHz,,,,,,,,,,
172,Xeon Silver 4210R,SRG24 (R1),,2.4 GHz,,10 × 1 MB,13.75 MB,100 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,24 February 2020,CD8069504344500 BX806954210R,$501,10 (20),,,,,,2.9/3.2 GHz,,,,,,,,,,
173,Xeon Silver 4210T,SRGYH (R1),,2.3 GHz,,10 × 1 MB,13.75 MB,95 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,24 February 2020,CD8069504444900,$555,10 (20),,,,,,2.8/3.2 GHz,,,,,,,,,,
174,Xeon Silver 4211W,,,2.5 GHz,,12 × 1 MB,16.5 MB,100 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,,,OEM,12 (24),,,,,,3.0/4.0 GHz,,,,,,,,,,
175,Xeon Silver 4213W,,,3 GHz,,8 × 1 MB,11 MB,115 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,,,OEM,8 (16),,,,,,3.6/4.0 GHz,,,,,,,,,,
176,Xeon Silver 4214,SRFB9 (L1),,2.2 GHz,,12 × 1 MB,16.5 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069504212601 BX806954214,$694,12 (24),,,,,,2.7/3.2 GHz,,,,,,,,,,
177,Xeon Silver 4214R,SRG1W (L1),,2.4 GHz,,12 × 1 MB,16.5 MB,100 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,24 February 2020,CD8069504343701 BX806954214R,$694,12 (24),,,,,,3.0/3.5 GHz,,,,,,,,,,
178,Xeon Silver 4214Y,SRFDG (L1),,2.2 GHz,,12 × 1 MB,16.5 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069504294401,$768,12 (24),,,,,,2.7/3.2 GHz,,,,,,,,,,
179,Xeon Silver 4215,SRFBA (L1),,2.5 GHz,,8 × 1 MB,11 MB,85 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069504212701,$794,8 (16),,,,,,3.0/3.5 GHz,,,,,,,,,,
180,Xeon Silver 4215R,SRGZE (B1),,3.2 GHz,,8 × 1 MB,11 MB,130 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,24 February 2020,CD8069504449200,$794,8 (16),,,,,,3.6/4.0 GHz,,,,,,,,,,
181,Xeon Silver 4216,SRFBB (L1),,2.1 GHz,,16 × 1 MB,22 MB,100 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,2 April 2019,CD8069504213901 BX806954216,$1002,16 (32),,,,,,2.7/3.2 GHz,,,,,,,,,,
182,Xeon Silver 4216R,,,2.2 GHz,,16 × 1 MB,22 MB,125 W,LGA 3647,2× 9.6 GT/s UPI,6× DDR4-2400,,,OEM,16 (32),,,,,,3.0/3.7 GHz,,,,,,,,,,
183,Xeon Gold 5215,SRFBC (B1),,2.5 GHz,,10 × 1 MB,13.75 MB,85 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,Q2 2019,CD8069504214002,$1221,10 (20),,,,,,2.5/3.4 GHz,,,,,,,,,,
184,Xeon Gold 5218R,SRGZ7 (B1),,2.1 GHz,,20 × 1 MB,27.5 MB,125 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,24 February 2020,CD8069504446300 BX806955218R,$1273,20 (40),,,,,,2.8/4.0 GHz,,,,,,,,,,
185,Xeon Gold 5219Y,SRF8C (B1),,2.4 GHz,,16 × 1 MB,22 MB,125 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,Q2 2019,CD8069504184202,,16 (32),,,,,,2.7/4.0 GHz,,,,,,,,,,
186,Xeon Gold 5220R,SRGZP (B1),,2.2 GHz,,24 × 1 MB,35.75 MB,150 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,24 February 2020,CD8069504451301 BX806955220R,$1555,24 (48),,,,,,2.4/4.0 GHz,,,,,,,,,,
187,Xeon Gold 6222,SRF8D (B1),,1.8 GHz,,20 × 1 MB,27.5 MB,115 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2400,Q2 2019,CD8069504184502,$1600,20 (40),,,,,,2.2/3.6 GHz,,,,,,,,,,
188,Xeon Gold 6226R,SRGZC (B1),,2.9 GHz,,16 × 1 MB,22 MB,150 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504449000 BX806956226R,$1300,16 (32),,,,,,3.6/3.9 GHz,,,,,,,,,,
189,Xeon Gold 6230R,SRGZA (B1),,2.1 GHz,,26 × 1 MB,35.75 MB,150 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504448800 BX806956230R,$1894,26 (52),,,,,,2.3/4.0 GHz,,,,,,,,,,
190,Xeon Gold 6238R,SRGZ9 (B1),,2.2 GHz,,28 × 1 MB,38.5 MB,165 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504448701 BX806956238R,$2612,28 (56),,,,,,2.4/4.0 GHz,,,,,,,,,,
191,Xeon Gold 6240R,SRGZ8 (B1),,2.4 GHz,,24 × 1 MB,35.75 MB,165 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504448600 BX806956240R,$2200,24 (48),,,,,,3.2/4.0 GHz,,,,,,,,,,
192,Xeon Gold 6242R,SRGZJ (B1),,3.1 GHz,,20 × 1 MB,35.75 MB,205 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504449601,$2529,20 (40),,,,,,3.3/4.1 GHz,,,,,,,,,,
193,Xeon Gold 6246R,SRGZL (B1),,3.4 GHz,,16 × 1 MB,35.75 MB,205 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504449801,$3286,16 (32),,,,,,3.6/4.1 GHz,,,,,,,,,,
194,Xeon Gold 6248R,SRGZG (B1),,3 GHz,,24 × 1 MB,35.75 MB,205 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504449401,$2700,24 (48),,,,,,3.6/4.0 GHz,,,,,,,,,,
195,Xeon Gold 6258R,SRGZF (B1),,2.7 GHz,,28 × 1 MB,38.5 MB,205 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504449301,$3950,28 (56),,,,,,2.7/4.0 GHz,,,,,,,,,,
196,Xeon Gold 6262,SRF8E (B1),,1.9 GHz,,24 × 1 MB,33 MB,135 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2400,Q2 2019,CD8069504184602,$2900,24 (48),,,,,,2.4/3.6 GHz,,,,,,,,,,
197,Xeon Gold 6269Y,SRF8B (B1),,3.2 GHz,,22 × 1 MB,30.25 MB,240 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,Q2 2019,CD8069504184102,,22 (44),,,,,,3.4/3.7 GHz,,,,,,,,,,
198,Xeon Gold 6290,SRG30 (B1),,3.2 GHz,,22 × 1 MB,30.25 MB,240 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,Q2 2019,,OEM,22 (44),,,,,,3.6/3.9 GHz,,,,,,,,,,
199,Xeon Gold 5213W,,,2.7 GHz,,10 × 1 MB,13.75 MB,100 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,,,OEM,10 (20),,,,,,3.3/4.3 GHz,,,,,,,,,,
200,Xeon Gold 5215,SRFBC (L1),,2.5 GHz,,10 × 1 MB,13.75 MB,85 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504214002,$1221,10 (20),,,,,,3.0/3.4 GHz,,,,,,,,,,
201,Xeon Gold 5215L,SRFBE (L1),,2.5 GHz,,10 × 1 MB,13.75 MB,85 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504214202,$9119,10 (20),,,,,,3.0/3.4 GHz,,,,,,,,,,
202,Xeon Gold 5215M,SRFBD (L1),,2.5 GHz,,10 × 1 MB,13.75 MB,85 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504214102,$4224,10 (20),,,,,,3.0/3.4 GHz,,,,,,,,,,
203,Xeon Gold 5216W,,,3.5 GHz,,8 × 1 MB,16.5 MB,160 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,,,OEM,8 (16),,,,,,3.8/4.2 GHz,,,,,,,,,,
204,Xeon Gold 5217,SRFBF (L1),,3 GHz,,8 × 1 MB,11 MB,115 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504214302,$1522,8 (16),,,,,,3.4/3.7 GHz,,,,,,,,,,
205,Xeon Gold 5218,SRF8T (B1),,2.3 GHz,,16 × 1 MB,22 MB,125 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504193301 BX806955218,$1273,16 (32),,,,,,2.8/3.9 GHz,,,,,,,,,,
206,Xeon Gold 5218B,SRFDJ (L1),,2.3 GHz,,16 × 1 MB,22 MB,125 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504295701,$1273,16 (32),,,,,,2.8/3.9 GHz,,,,,,,,,,
207,Xeon Gold 5218N,SRFD9 (L1) SRGLN (L1),,2.3 GHz,,16 × 1 MB,22 MB,125 W 110 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504289900 CD8069504384601,$1375,16 (32),,,,,,3.0/3.7 GHz,,,,,,,,,,
208,Xeon Gold 5218T,SRFPM (B1),,2.1 GHz,,16 × 1 MB,22 MB,105 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,May 2019,CD8069504283204,$1349,16 (32),,,,,,2.7/3.8 GHz,,,,,,,,,,
209,Xeon Gold 5220,SRFBJ (L1),,2.2 GHz,,18 × 1 MB,24.75 MB,125 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,2 April 2019,CD8069504214601 BX806955220,$1555,18 (36),,,,,,2.7/3.9 GHz,,,,,,,,,,
210,Xeon Gold 5220S,SRFPT (B1),,2.7 GHz,,18 × 1 MB,24.75 MB,125 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,May 2019,CD8069504283804,$2000,18 (36),,,,,,2.7/3.9 GHz,,,,,,,,,,
211,Xeon Gold 5220T,SRFPK (B1),,1.9 GHz,,18 × 1 MB,24.75 MB,105 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2666,May 2019,CD8069504283006,$1727,18 (36),,,,,,2.7/3.9 GHz,,,,,,,,,,
212,Xeon Gold 5222,SRF8V (B1),,3.8 GHz,,4 × 1 MB,16.5 MB,105 W,LGA 3647,2× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504193501,$1221,4 (8),,,,,,3.9/3.9 GHz,,,,,,,,,,
213,Xeon Gold 6222V,SRFQ5 (B1),,1.8 GHz,,20 × 1 MB,27.5 MB,115 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2400,May 2019,CD8069504285204,$1600,20 (40),,,,,,2.4/3.6 GHz,,,,,,,,,,
214,Xeon Gold 6226,SRFPP (B1),,2.7 GHz,,12 × 1 MB,19.25 MB,125 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504283404,$1776,12 (24),,,,,,3.5/3.7 GHz,,,,,,,,,,
215,Xeon Gold 6230,SRF8W (B1),,2.1 GHz,,20 × 1 MB,27.5 MB,125 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504193701 BX806956230,$1894,20 (40),,,,,,2.8/3.9 GHz,,,,,,,,,,
216,Xeon Gold 6230N,SRFPR (B1),,2.3 GHz,,20 × 1 MB,27.5 MB,125 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504283604,$2046,20 (40),,,,,,2.9/3.5 GHz,,,,,,,,,,
217,Xeon Gold 6230T,SRFPS (B1),,2.1 GHz,,20 × 1 MB,27.5 MB,125 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504283704,$1988,20 (40),,,,,,2.8/3.9 GHz,,,,,,,,,,
218,Xeon Gold 6231,,,3.2 GHz,,16 × 1 MB,22 MB,185 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,16 (32),,,,,,?/3.9 GHz,,,,,,,,,,
219,Xeon Gold 6231C,SRF8F (B1),,3.2 GHz,,16 × 1 MB,22 MB,185 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,16 (32),,,,,,3.7/3.9 GHz,,,,,,,,,,
220,Xeon Gold 6233,,,2.5 GHz,,24 × 1 MB,33 MB,165 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,24 (48),,,,,,?/3.9 GHz,,,,,,,,,,
221,Xeon Gold 6234,SRFPN (B1),,3.3 GHz,,8 × 1 MB,24.75 MB,130 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504283304,$2214,8 (16),,,,,,4.0/4.0 GHz,,,,,,,,,,
222,Xeon Gold 6238,SRFPL (B1),,2.1 GHz,,22 × 1 MB,30.25 MB,140 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504283104,$2612,22 (44),,,,,,2.8/3.7 GHz,,,,,,,,,,
223,Xeon Gold 6238L,SRFQ2 (B1),,2.1 GHz,,22 × 1 MB,30.25 MB,140 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504284704,"$10,510",22 (44),,,,,,2.8/3.7 GHz,,,,,,,,,,
224,Xeon Gold 6238M,SRFQ1 (B1),,2.1 GHz,,22 × 1 MB,30.25 MB,140 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504284604,$5615,22 (44),,,,,,2.8/3.7 GHz,,,,,,,,,,
225,Xeon Gold 6238T,SRF9C (B1),,1.9 GHz,,22 × 1 MB,30.25 MB,125 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504200401,$2742,22 (44),,,,,,2.7/3.7 GHz,,,,,,,,,,
226,Xeon Gold 6240,SRF8X (B1),,2.6 GHz,,18 × 1 MB,24.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504194001 BX806956240,$2445,18 (36),,,,,,3.3/3.9 GHz,,,,,,,,,,
227,Xeon Gold 6240L,SRFQ0 (B1),,2.6 GHz,,18 × 1 MB,24.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504284503,"$10,243",18 (36),,,,,,3.3/3.9 GHz,,,,,,,,,,
228,Xeon Gold 6240M,SRFPZ (B1),,2.6 GHz,,18 × 1 MB,24.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504284403,$5448,18 (36),,,,,,3.3/3.9 GHz,,,,,,,,,,
229,Xeon Gold 6240Y,SRF9D (B1),,2.6 GHz,,18 × 1 MB,24.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504200501,$2726,18 (36),,,,,,3.3/3.9 GHz,,,,,,,,,,
230,Xeon Gold 6240C,,,2.6 GHz,,18 × 1 MB,24.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,18 (36),,,,,,3.6/3.9 GHz,,,,,,,,,,
231,Xeon Gold 6241W,SRF9Y,,3.2 GHz,,16 × 1 MB,22 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,16 (32),,,,,,4.2/4.4 GHz,,,,,,,,,,
232,Xeon Gold 6242,SRF8Y (B1),,2.8 GHz,,16 × 1 MB,22 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504194101 BX806956242,$2529,16 (32),,,,,,3.5/3.9 GHz,,,,,,,,,,
233,Xeon Gold 6244,SRF8Z (B1),,3.6 GHz,,8 × 1 MB,24.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504194202,$2925,8 (16),,,,,,4.3/4.4 GHz,,,,,,,,,,
234,Xeon Gold 6245W,,,3.3 GHz,,12 × 1 MB,19.25 MB,180 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,12 (24),,,,,,4.1/4.4 GHz,,,,,,,,,,
235,Xeon Gold 6246,SRFPJ (B1),,3.3 GHz,,12 × 1 MB,24.75 MB,165 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504282905,$3286,12 (24),,,,,,4.1/4.2 GHz,,,,,,,,,,
236,Xeon Gold 6248,SRF90 (B1),,2.5 GHz,,20 × 1 MB,27.5 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504194301 BX806956248,$3072,20 (40),,,,,,3.2/3.9 GHz,,,,,,,,,,
237,Xeon Gold 6249C,,,2.6 GHz,,26 × 1 MB,35.75 MB,,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,26 (52),,,,,,—,,,,,,,,,,
238,Xeon Gold 6250,SRGTR (B1),,3.9 GHz,,8 × 1 MB,35.75 MB,185 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504425402,$3400,8 (16),,,,,,4.5/4.5 GHz,,,,,,,,,,
239,Xeon Gold 6250L,SRH5D (B1),,3.9 GHz,,8 × 1 MB,35.75 MB,185 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504497400,$6404,8 (16),,,,,,4.5/4.5 GHz,,,,,,,,,,
240,Xeon Gold 6252,SRF91 (B1),,2.1 GHz,,24 × 1 MB,35.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504194401 BX806956252,$3655,24 (48),,,,,,2.8/3.7 GHz,,,,,,,,,,
241,Xeon Gold 6252N,SRFPQ (B1),,2.3 GHz,,24 × 1 MB,35.75 MB,150 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,May 2019,CD8069504283503,$4259,24 (48),,,,,,3.0/3.6 GHz,,,,,,,,,,
242,Xeon Gold 6253W,,,3.1 GHz,,18 × 1 MB,24.75 MB,200 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,18 (36),,,,,,4.1/4.4 GHz,,,,,,,,,,
243,Xeon Gold 6253CL,SRF7Z (B1),,3.1 GHz,,18 × 1 MB,24.75 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,18 (36),,,,,,3.8/3.9 GHz,,,,,,,,,,
244,Xeon Gold 6254,SRF92 (B1),,3.1 GHz,,18 × 1 MB,24.75 MB,200 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,2 April 2019,CD8069504194501,$3803,18 (36),,,,,,3.9/4.0 GHz,,,,,,,,,,
245,Xeon Gold 6256,SRGTQ (B1),,3.6 GHz,,12 × 1 MB,33 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,24 February 2020,CD8069504425301,$3900,12 (24),,,,,,4.3/4.5 GHz,,,,,,,,,,
246,Xeon Gold 6261,,,3 GHz,,22 × 1 MB,30.25 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,22 (44),,,,,,3.2/3.4 GHz,,,,,,,,,,
247,Xeon Gold 6262V,SRFQ4 (B1),,1.9 GHz,,24 × 1 MB,33 MB,135 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2400,May 2019,CD8069504285004,$2900,24 (48),,,,,,2.5/3.6 GHz,,,,,,,,,,
248,Xeon Gold 6263CY,,,2.6 GHz,,24 × 1 MB,33 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,24 (48),,,,,,3.7/4.0 GHz,,,,,,,,,,
249,Xeon Gold 6266C,SRF83 (B1),,3 GHz,,22 × 1 MB,30.25 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,22 (44),,,,,,3.2/3.4 GHz,,,,,,,,,,
250,Xeon Gold 6267,SRFQ7,,2.6 GHz,,24 × 1 MB,33 MB,165 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,24 (48),,,,,,3.1/3.4 GHz,,,,,,,,,,
251,Xeon Gold 6267C,SRF87,,2.6 GHz,,24 × 1 MB,33 MB,165 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,24 (48),,,,,,?/3.4 GHz,,,,,,,,,,
252,Xeon Gold 6268CL,SRF80 (B1),,2.8 GHz,,24 × 1 MB,33 MB,205 W,LGA 3647,3× 10.4 GT/s UPI,6× DDR4-2933,,,OEM,24 (48),,,,,,3.4/3.9 GHz,,,,,,,,,,
